round,score,survival time,total rewards
927,20,129,1200
928,15,126,840
929,13,69,780
930,11,62,600
931,19,138,1080
932,11,77,660
933,19,117,1080
934,18,95,1080
935,10,47,600
936,7,52,420
937,11,63,660
938,20,94,1200
939,0,6,0
940,5,27,300
941,5,24,300
942,20,109,1200
943,2,14,120
944,18,87,1080
945,15,85,900
946,18,118,1080
947,20,103,1200
948,5,26,300
949,20,177,1200
950,20,102,1200
951,12,65,720
952,1,16,60
953,16,52,900
954,16,76,960
955,20,80,1200
956,17,99,960
957,2,14,120
958,16,67,900
959,19,148,1140
960,2,11,120
961,8,63,480
962,18,65,1020
963,10,75,600
964,10,36,600
965,8,50,480
966,14,79,780
967,19,199,1140
968,20,130,1200
969,1,7,0
970,20,243,1200
971,14,123,840
972,7,30,420
973,16,72,960
974,2,14,120
975,3,22,180
976,12,46,720
977,12,66,720
978,12,45,720
979,19,87,1140
980,20,80,1140
981,17,90,1020
982,1,5,0
983,5,26,300
984,18,78,1080
985,0,5,0
986,15,103,900
987,16,57,900
988,19,111,1140
989,16,78,960
990,10,53,600
991,19,143,1140
992,19,108,1140
993,5,24,240
994,0,5,0
995,19,98,1140
996,9,78,540
997,19,153,1140
998,20,110,1200
999,19,98,1140
1000,20,105,1200
